Heat,Driver,Kart,Lap,Time
Heat 2,Jeci,11,1,0 days 00:00:44.632000
Heat 2,Jeci,11,2,0 days 00:03:35.159000
Heat 2,Jeci,11,3,0 days 00:00:37.605000
Heat 2,Jeci,11,4,0 days 00:00:37.927000
Heat 2,Jeci,11,5,0 days 00:00:37.384000
Heat 2,Jeci,11,6,0 days 00:00:37.232000
Heat 2,Jeci,11,7,0 days 00:00:46.456000
Heat 2,Jeci,11,8,0 days 00:00:39.858000
Heat 2,Jeci,11,9,0 days 00:00:37.123000
Heat 2,Jeci,11,10,0 days 00:00:37.974000
Heat 2,Jeci,11,11,0 days 00:00:38.822000
Heat 2,Djak,3,1,0 days 00:00:38.444000
Heat 2,Djak,3,2,0 days 00:00:41.729000
Heat 2,Djak,3,3,0 days 00:03:28.820000
Heat 2,Djak,3,4,0 days 00:00:38.308000
Heat 2,Djak,3,5,0 days 00:00:37.774000
Heat 2,Djak,3,6,0 days 00:00:37.299000
Heat 2,Djak,3,7,0 days 00:00:37.690000
Heat 2,Djak,3,8,0 days 00:00:37.288000
Heat 2,Djak,3,9,0 days 00:00:37.182000
Heat 2,Djak,3,10,0 days 00:00:37.202000
Heat 2,Djak,3,11,0 days 00:00:37.318000
Heat 2,Djak,3,12,0 days 00:00:43.998000
Heat 2,Olel,6,1,0 days 00:00:40.145000
Heat 2,Olel,6,2,0 days 00:00:42.729000
Heat 2,Olel,6,3,0 days 00:03:37.209000
Heat 2,Olel,6,4,0 days 00:00:38.826000
Heat 2,Olel,6,5,0 days 00:00:38.444000
Heat 2,Olel,6,6,0 days 00:00:38.063000
Heat 2,Olel,6,7,0 days 00:00:38.016000
Heat 2,Olel,6,8,0 days 00:00:38.103000
Heat 2,Olel,6,9,0 days 00:00:37.941000
Heat 2,Olel,6,10,0 days 00:00:37.423000
Heat 2,Olel,6,11,0 days 00:00:37.590000
Heat 2,Olel,6,12,0 days 00:00:40.119000
Heat 2,Cfon,10,1,0 days 00:00:44.060000
Heat 2,Cfon,10,2,0 days 00:00:42.931000
Heat 2,Cfon,10,3,0 days 00:03:23.033000
Heat 2,Cfon,10,4,0 days 00:00:38.832000
Heat 2,Cfon,10,5,0 days 00:00:38.369000
Heat 2,Cfon,10,6,0 days 00:00:37.720000
Heat 2,Cfon,10,7,0 days 00:00:37.833000
Heat 2,Cfon,10,8,0 days 00:00:37.734000
Heat 2,Cfon,10,9,0 days 00:00:37.722000
Heat 2,Cfon,10,10,0 days 00:00:38.228000
Heat 2,Cfon,10,11,0 days 00:00:37.777000
Heat 2,Cfon,10,12,0 days 00:00:40.713000
Heat 2,Henpe,12,1,0 days 00:00:40.063000
Heat 2,Henpe,12,2,0 days 00:03:27.691000
Heat 2,Henpe,12,3,0 days 00:00:39.966000
Heat 2,Henpe,12,4,0 days 00:00:39.313000
Heat 2,Henpe,12,5,0 days 00:00:38.904000
Heat 2,Henpe,12,6,0 days 00:00:41.283000
Heat 2,Henpe,12,7,0 days 00:00:41.366000
Heat 2,Henpe,12,8,0 days 00:00:39.942000
Heat 2,Henpe,12,9,0 days 00:00:37.817000
Heat 2,Henpe,12,10,0 days 00:00:37.755000
Heat 2,Henpe,12,11,0 days 00:00:37.946000
Heat 2,Amt,7,1,0 days 00:00:40.223000
Heat 2,Amt,7,2,0 days 00:00:42.177000
Heat 2,Amt,7,3,0 days 00:03:40.340000
Heat 2,Amt,7,4,0 days 00:00:40.187000
Heat 2,Amt,7,5,0 days 00:00:38.865000
Heat 2,Amt,7,6,0 days 00:00:38.839000
Heat 2,Amt,7,7,0 days 00:00:38.256000
Heat 2,Amt,7,8,0 days 00:00:38.569000
Heat 2,Amt,7,9,0 days 00:00:38.806000
Heat 2,Amt,7,10,0 days 00:00:38.507000
Heat 2,Amt,7,11,0 days 00:00:38.622000
Heat 2,Amt,7,12,0 days 00:00:38.619000
Heat 2,Cmail,9,1,0 days 00:00:43.707000
Heat 2,Cmail,9,2,0 days 00:03:37.325000
Heat 2,Cmail,9,3,0 days 00:00:40.050000
Heat 2,Cmail,9,4,0 days 00:00:38.854000
Heat 2,Cmail,9,5,0 days 00:00:41.112000
Heat 2,Cmail,9,6,0 days 00:00:42.655000
Heat 2,Cmail,9,7,0 days 00:00:42.232000
Heat 2,Cmail,9,8,0 days 00:00:40.844000
Heat 2,Cmail,9,9,0 days 00:00:41.282000
Heat 2,Cmail,9,10,0 days 00:00:38.841000
Heat 2,Cmail,9,11,0 days 00:00:38.351000
Heat 2,Hadu,4,1,0 days 00:00:40.009000
Heat 2,Hadu,4,2,0 days 00:03:24.977000
Heat 2,Hadu,4,3,0 days 00:00:39.952000
Heat 2,Hadu,4,4,0 days 00:00:39.617000
Heat 2,Hadu,4,5,0 days 00:00:41.631000
Heat 2,Hadu,4,6,0 days 00:00:41.797000
Heat 2,Hadu,4,7,0 days 00:00:41.933000
Heat 2,Hadu,4,8,0 days 00:00:41.065000
Heat 2,Hadu,4,9,0 days 00:00:38.814000
Heat 2,Hadu,4,10,0 days 00:00:38.439000
Heat 2,Hadu,4,11,0 days 00:00:38.693000
Heat 2,Janmj,8,1,0 days 00:00:40.645000
Heat 2,Janmj,8,2,0 days 00:03:26.931000
Heat 2,Janmj,8,3,0 days 00:00:41.496000
